gbifID,scientificName,species,vernacularName,kingdom,phylum,class,order,family,genus,taxonRank,taxonKey,speciesKey,iucnRedListCategory,iucnRedListStatus,eventDate,year,month,day,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,elevation,locality,municipality,district,protectedArea,protectedAreaDesignation,strictlyProtected,basisOfRecord,individualCount,establishmentMeans,recordedBy,identifiedBy,institutionCode,collectionCode,catalogNumber,datasetKey,license,issue
5402155025,"Buteo buteo (Linnaeus, 1758)",Buteo buteo,Common Buzzard,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,SPECIES,2480537,2480537,LC,Least Concern,2024-07-26,2024,7,26,42.727493,20.15697,,,Ariu,Pejë / Peć,Pejë / Peć,"Parku Kombëtar ""Bjeshkët e Nemuna""",National Park,FALSE,HUMAN_OBSERVATION,1,,obsr2557945,,CLO,EBIRD,OBS2343457440,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,CC_BY_4_0,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
5401902590,"Anas crecca Linnaeus, 1758",Anas crecca,Eurasian Teal,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,SPECIES,8214667,8214667,LC,Least Concern,2024-08-23,2024,8,23,42.579243,21.048304,,,Ligatinat e Henc (Henc Wetland),Fushë Kosovë / Kosovo Polje,Prishtinë / Priština,Ligatina e Hencit/ Radevës,Wetlands,FALSE,HUMAN_OBSERVATION,4,,obsr3632928,,CLO,EBIRD,OBS2407800789,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,CC_BY_4_0,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
5401849691,"Sylvia atricapilla (Linnaeus, 1758)",Sylvia atricapilla,Eurasian Blackcap,Animalia,Chordata,Aves,Passeriformes,Sylviidae,Sylvia,SPECIES,2492956,2492956,LC,Least Concern,2024-06-20,2024,6,20,42.613365,21.441584,,,"Auto selected 42.61337, 21.44158",Prishtinë / Priština,Prishtinë / Priština,,,FALSE,HUMAN_OBSERVATION,2,,obsr172876,,CLO,EBIRD,OBS2258196631,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,CC_BY_4_0,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
5401592886,"Falco tinnunculus Linnaeus, 1758",Falco tinnunculus,Common Kestrel,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,SPECIES,9616058,9616058,LC,Least Concern,2024-06-08,2024,6,8,42.190907,21.073524,,,Hike to Lake Livadh,Shtërpcë / Štrpce,Ferizaj / Uroševac,"Parku Kombëtar ""Sharri""",National Park,FALSE,HUMAN_OBSERVATION,1,,obsr4241512,,CLO,EBIRD,OBS2228447454,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,CC_BY_4_0,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
5401387738,"Curruca curruca (Linnaeus, 1758)",Sylvia curruca,Lesser Whitethroat,Animalia,Chordata,Aves,Passeriformes,Sylviidae,Sylvia,SPECIES,11034996,2492960,LC,Least Concern,2024-05-12,2024,5,12,42.684017,21.063864,,,"Rrugë pa emër, Kastriot (42.684, 21.064)",Obiliq / Obilić,Prishtinë / Priština,,,FALSE,HUMAN_OBSERVATION,4,,obsr891783,,CLO,EBIRD,OBS2148350618,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,CC_BY_4_0,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
5401344191,"Ciconia nigra (Linnaeus, 1758)",Ciconia nigra,Black Stork,Animalia,Chordata,Aves,Ciconiiformes,Ciconiidae,Ciconia,SPECIES,2481909,2481909,LC,Least Concern,2024-08-06,2024,8,6,42.447598,21.165455,,,Babushan & Surrounding Fields,Ferizaj / Uroševac,Ferizaj / Uroševac,,,FALSE,HUMAN_OBSERVATION,2,,obsr1740347,,CLO,EBIRD,OBS2369916047,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,CC_BY_4_0,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
5401315436,"Passer domesticus (Linnaeus, 1758)",Passer domesticus,House Sparrow,Animalia,Chordata,Aves,Passeriformes,Passeridae,Passer,SPECIES,5231190,5231190,LC,Least Concern,2024-08-15,2024,8,15,42.658325,21.162386,,,Biblioteka Kombëtare Universitare e Kosovës / National University Library of Kosovo Park,Prishtinë / Priština,Prishtinë / Priština,,,FALSE,HUMAN_OBSERVATION,,,obsr3540790,,CLO,EBIRD,OBS2388933932,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,CC_BY_4_0,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
5401251745,"Turdus viscivorus Linnaeus, 1758",Turdus viscivorus,Mistle Thrush,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,SPECIES,2490774,2490774,LC,Least Concern,2024-07-25,2024,7,25,42.640625,20.147816,,,Chalet Rusta,Pejë / Peć,Pejë / Peć,"Parku Kombëtar ""Bjeshkët e Nemuna""",National Park,FALSE,HUMAN_OBSERVATION,8,,obsr2557945,,CLO,EBIRD,OBS2341239852,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,CC_BY_4_0,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
5401101561,"Troglodytes troglodytes (Linnaeus, 1758)",Troglodytes troglodytes,Winter Wren,Animalia,Chordata,Aves,Passeriformes,Troglodytidae,Troglodytes,SPECIES,5231438,5231438,LC,Least Concern,2024-07-05,2024,7,5,42.579643,20.201027,,,"Belle (42.58, 20.201)",Deçan / Dečani,Gjakovë / Đakovica,"Parku Kombëtar ""Bjeshkët e Nemuna""",National Park,FALSE,HUMAN_OBSERVATION,3,,obsr891783,,CLO,EBIRD,OBS2294670691,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,CC_BY_4_0,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
5401062893,"Sylvia atricapilla (Linnaeus, 1758)",Sylvia atricapilla,Eurasian Blackcap,Animalia,Chordata,Aves,Passeriformes,Sylviidae,Sylvia,SPECIES,2492956,2492956,LC,Least Concern,2024-06-03,2024,6,3,42.527172,20.97543,,,BLINAJA,Lipjan / Lipljan,Prishtinë / Priština,,,FALSE,HUMAN_OBSERVATION,2,,obsr891783,,CLO,EBIRD,OBS2215225533,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,CC_BY_4_0,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
