scientific_name,directive,annex,priority,listing_type,gbif_usage_key,gbif_species_key,match_type,matched_rank,kingdom,class,genus,alternative_name,source_celex,verbatim_entry
Marsilea quadrifolia,Habitats,II,FALSE,taxon,5274875,5274875,EXACT,SPECIES,Plantae,Polypodiopsida,Marsilea,,01992L0043-20130701,Marsilea quadrifolia
Marsilea strigosa,Habitats,II,FALSE,taxon,5613324,5613324,EXACT,SPECIES,Plantae,Polypodiopsida,Marsilea,,01992L0043-20130701,Marsilea strigosa
Marsupella profunda,Habitats,II,TRUE,taxon,5793132,5793132,EXACT,SPECIES,Plantae,Jungermanniopsida,Marsupella,,01992L0043-20130701,* Marsupella profunda
Mauremys caspica,Habitats,II,FALSE,taxon,2443374,2443374,EXACT,SPECIES,Animalia,Testudines,Mauremys,,01992L0043-20130701,Mauremys caspica
Mauremys leprosa,Habitats,II,FALSE,taxon,2443341,2443341,EXACT,SPECIES,Animalia,Testudines,Mauremys,,01992L0043-20130701,Mauremys leprosa
Maytenus umbellata,Habitats,II,FALSE,taxon,3793313,3791289,EXACT,SPECIES,Plantae,Magnoliopsida,Gymnosporia,,01992L0043-20130701,Maytenus umbellata
Meesia longiseta,Habitats,II,FALSE,taxon,5282427,5282427,EXACT,SPECIES,Plantae,Bryopsida,Meesia,,01992L0043-20130701,Meesia longiseta
Melanargia arge,Habitats,II,FALSE,taxon,1916347,1916347,EXACT,SPECIES,Animalia,Insecta,Melanargia,,01992L0043-20130701,Melanargia arge
Melanoselinum decipiens,Habitats,II,FALSE,taxon,3631604,9244277,EXACT,SPECIES,Plantae,Magnoliopsida,Daucus,,01992L0043-20130701,Melanoselinum decipiens
Melilotus segetalis fallax,Habitats,II,FALSE,taxon,3962850,2971032,EXACT,SUBSPECIES,Plantae,Magnoliopsida,Melilotus,,01992L0043-20130701,Melilotus segetalis fallax
Mertensiella luschani,Habitats,II,FALSE,taxon,4409482,2431833,EXACT,SPECIES,Animalia,Amphibia,Lyciasalamandra,Salamandra luschani,01992L0043-20130701,Mertensiella luschani (Salamandra luschani)
Mesocricetus newtoni,Habitats,II,FALSE,taxon,2438483,2438483,EXACT,SPECIES,Animalia,Mammalia,Mesocricetus,,01992L0043-20130701,Mesocricetus newtoni
Mesosa myops,Habitats,II,FALSE,taxon,8071351,8071351,EXACT,SPECIES,Animalia,Insecta,Mesosa,,01992L0043-20130701,Mesosa myops
Micromeria taygetea,Habitats,II,TRUE,taxon,5606046,3885512,EXACT,SPECIES,Plantae,Magnoliopsida,Clinopodium,,01992L0043-20130701,* Micromeria taygetea
