datasetKey,datasetTitle,datasetDOI,datasetLicense,publisherKey,publisher
bd14614c-4d72-4763-8710-1cea514311cc,EUKARYOME: the rRNA gene reference database for identification of eukaryotes,10.15468/ehkbkt,http://creativecommons.org/licenses/by/4.0/legalcode,0870a77b-587c-4369-a8ed-bc3d347b8e1c,PlutoF
d714382d-5890-4234-ae81-696eeb53658a,Mushroom Observer,10.15468/wwcmna,http://creativecommons.org/licenses/by-nc/4.0/legalcode,b873c239-a68e-4133-ae0b-0c534101f7b5,"Mushroom Observer, Inc."
aab0cf80-0c64-11dd-84d1-b8a03c50a862,Lund University Biological Museum - Botanical collection (LD),10.15468/c4w4co,http://creativecommons.org/licenses/by-nc/4.0/legalcode,c0758a16-296b-4ec3-97fd-8a057d9060f3,Lund University Biological Museum
0b0735e0-624d-4abb-abba-91a2733adea4,Charles University Prague - Herbarium PRC,10.15468/8xrt7r,http://creativecommons.org/licenses/by/4.0/legalcode,75ed8583-8bd8-4f82-9346-75b234fe4682,Charles University - Herbarium collections & Department of Botany
4a2e5415-dc09-47a2-8073-8503fb42eabd,Field data of VectorNet priority mosquito species occurrence in Balkan countries and southern Italy,10.15468/5ehq93,http://creativecommons.org/licenses/by/4.0/legalcode,edb608fc-230b-42d0-802a-99e292e52106,European Food Safety Authority
53d694e3-2e85-4996-ab1b-e4a54bd4d66d,Systematic literature review on the distribution of priority sandflies species within the VectorNet geographical area,10.15468/j9nqaj,http://creativecommons.org/licenses/by/4.0/legalcode,edb608fc-230b-42d0-802a-99e292e52106,European Food Safety Authority
54f946aa-2ca9-4a51-9ee5-011219e0381e,Masaryk University - Herbarium BRNU,10.15468/soarvd,http://creativecommons.org/licenses/by/4.0/legalcode,9a4467a2-eccd-4aa7-bb6d-aea3a31f2a2c,"Masaryk University, Department of Botany and Zoology"
c5af1e42-d20b-4b76-8454-616b81c8c891,Systematic literature review on the distribution of priority tick species within the VectorNet geographical area,10.15468/kuu7tr,http://creativecommons.org/licenses/by/4.0/legalcode,edb608fc-230b-42d0-802a-99e292e52106,European Food Safety Authority
7f5260c2-f762-11e1-a439-00145eb45e9a,"Natural History Museum, Vienna - Herbarium W",10.15468/5sl7sh,http://creativecommons.org/licenses/by/4.0/legalcode,4e11d750-bafb-11d9-8e53-b8a03c50a862,"Natural History Museum, Vienna"
0a0d9258-39aa-46c3-89b6-7595ea9813a8,"One new genus Najas (Hydrocharitaceae) and four new vascular plant records for Kosovo: Lycopodium, Najas and two Cyperus species",10.3897/bdj.14.e181774,http://creativecommons.org/licenses/by/4.0/legalcode,750a8724-fa66-4c27-b645-bd58ac5ee010,Biodiversity Data Journal
11033038-e6b4-47f0-96a1-9b3fe15e8eb9,"Taxonomic and nomenclatorial notes on the Catoptria coulonellus (Duponchel) species group with description of five new species from Western Balkans (Lepidoptera: Pyraloidea, Crambidae)",10.15468/crw32w,http://creativecommons.org/publicdomain/zero/1.0/legalcode,7ce8aef0-9e92-11dc-8738-b8a03c50a862,Plazi.org taxonomic treatments database
fb9863f4-68cf-4e90-bc4d-2b15bdebf889,Entomologische Sammlung (ETHZ-ENT) of Eidgenössische Technische Hochschule Zürich,10.15468/9jutqw,http://creativecommons.org/licenses/by/4.0/legalcode,9661d20d-86b6-4485-8948-f3c86b022fa7,Swiss Natural History Collections - SwissNatColl
137dab23-0589-4dc6-8e3d-5eb2849d88c0,Orchid observations derived from HabiProt Orhideje database in Serbia,10.15468/9772pe,http://creativecommons.org/licenses/by-nc/4.0/legalcode,786d0d05-2e99-491a-81b7-54eaaf954b08,HabiProt
6ac3f774-d9fb-4796-b3e9-92bf6c81c084,NABU|naturgucker,10.15468/uc1apo,http://creativecommons.org/licenses/by/4.0/legalcode,bb646dff-a905-4403-a49b-6d378c2cf0d9,naturgucker.de
2282809d-f37b-4568-9164-72ca2d17227b,izeltlabuak.hu observations validated to species level,10.15468/rsmdu9,http://creativecommons.org/licenses/by-nc/4.0/legalcode,1ecaad1e-29a1-4af8-8098-40d942ae522d,izeltlabuak.hu
6286d149-28b8-43eb-ae1c-b4bc4ca4789b,Published_records_of_Northwestern_Balkans_Leptodirini,10.15468/kdzsts,http://creativecommons.org/licenses/by/4.0/legalcode,750a8724-fa66-4c27-b645-bd58ac5ee010,Biodiversity Data Journal
13b5b867-b66b-4dc0-b9aa-824aaaf58048,Notes on the genus Pulsatilla (Ranunculaceae) in Kosovo – Southeast Europe,10.15468/bqsk3q,http://creativecommons.org/publicdomain/zero/1.0/legalcode,adfff58c-db96-431d-9064-527cf09b0485,Plant Ecology and Evolution
b2390da7-9704-4215-b038-3727df6e7fee,VectorDistributionStatus_2025,10.15468/7ek6d9,http://creativecommons.org/licenses/by/4.0/legalcode,8f9f9814-a595-4bc3-8631-776ba3c9c62e,VectorNet
4abd984b-122c-44a0-8c92-b37e2f5299b1,VectorNet observations,10.15468/f3k8r9,http://creativecommons.org/licenses/by/4.0/legalcode,8f9f9814-a595-4bc3-8631-776ba3c9c62e,VectorNet
0afba960-be3b-4202-a7de-736ae05aec9e,"University of Vienna, Institute for Botany - Herbarium WU",10.15468/tnj8wm,http://creativecommons.org/licenses/by/4.0/legalcode,58520c30-bafb-11d9-8e53-b8a03c50a862,University of Vienna - Herbarium WU
cd6e21c8-9e8a-493a-8a76-fbf7862069e5,"Royal Botanic Gardens, Kew - Herbarium Specimens",10.15468/ly60bx,http://creativecommons.org/licenses/by/4.0/legalcode,061b4f20-f241-11da-a328-b8a03c50a862,"Royal Botanic Gardens, Kew"
4fa7b334-ce0d-4e88-aaae-2e0c138d049e,EOD – eBird Observation Dataset,10.15468/aomfnb,http://creativecommons.org/licenses/by/4.0/legalcode,e2e717bf-551a-4917-bdc9-4fa0f342c530,Cornell Lab of Ornithology
857cea12-f762-11e1-a439-00145eb45e9a,Herbarium Senckenbergianum (GLM) - Plantae,10.15468/1cvts9,http://creativecommons.org/licenses/by/4.0/legalcode,c76cf030-2a95-11da-9cc1-b8a03c50a862,Senckenberg
28138e27-d62e-4a52-b3c3-c614498dc125,Anchusella cretica (Boraginaceae): a new genus and species record for the flora of Kosovo (Southeast Europe),10.3897/bdj.13.e164900,http://creativecommons.org/licenses/by/4.0/legalcode,750a8724-fa66-4c27-b645-bd58ac5ee010,Biodiversity Data Journal
d92e92e0-8d20-4756-a60b-3746f408c14c,Arthropod observations derived from HabiProt Alciphron database in Serbia,10.15468/wxymrq,http://creativecommons.org/licenses/by-nc/4.0/legalcode,786d0d05-2e99-491a-81b7-54eaaf954b08,HabiProt
6ff8b3b0-ef0f-4f79-a310-5a5615c6aa0b,Birda - Global Observation Dataset,10.15468/6kud7x,http://creativecommons.org/licenses/by-nc/4.0/legalcode,0c6d40e3-5d96-4a2d-9342-b02833aaa766,Birda
61bde304-eb7f-4fb7-ad8d-615545a066c4,"First DNA barcoding of Dysderidae (Araneae) from Kosovo, with new records and the description of a new species of Harpactea Bristowe, 1939",10.15468/3fwxhy,http://creativecommons.org/publicdomain/zero/1.0/legalcode,7ce8aef0-9e92-11dc-8738-b8a03c50a862,Plazi.org taxonomic treatments database
96596036-f762-11e1-a439-00145eb45e9a,Collection Arachnology SMF,10.15468/fiz2j5,http://creativecommons.org/licenses/by/4.0/legalcode,c76cf030-2a95-11da-9cc1-b8a03c50a862,Senckenberg
